,0,1,2,3
0,3.638756,5.1115546,4.370768,4.0433474
1,3.3864112,2.785538,2.8369668,3.2587142
2,2.746565,2.9460242,3.1478255,4.169699
3,3.6332443,3.2186942,3.8870447,3.224473
4,3.3563976,3.0608528,3.8344014,3.8705297
5,2.5214872,1.9336046,2.3253455,4.114816
6,3.3305206,3.1796503,2.9713402,2.7265644
7,3.8437169,3.506311,3.0734878,3.2799218
8,3.488362,3.7823954,2.7272263,2.7079601
9,3.675738,3.6385405,3.1498995,3.1704369
10,3.7034054,4.033381,3.9392002,3.5044136
11,3.4088078,3.42168,2.987099,3.1918175
12,3.4954712,3.825462,3.6832328,2.969372
13,2.3886874,3.304557,2.3790004,2.7169704
14,4.150091,3.7577765,4.1202126,2.736404
15,3.2745147,3.782481,3.4255717,3.3948581
16,5.3512106,4.2314577,4.5415406,5.441596
17,3.2905838,3.6925707,4.1389074,3.5855572
18,2.2315974,2.440487,2.22647,2.3263469
19,3.7652495,3.005671,2.8205807,2.17021
20,4.9719925,3.5543907,4.895794,3.7863379
21,2.8374789,2.7300768,3.2739706,2.860707
22,3.7735708,3.3881907,3.168926,3.8022883
23,3.219804,3.654489,4.7908964,3.4723017
24,3.0946836,2.9205356,2.933254,4.8378463
25,3.5337498,3.0487158,3.5596015,3.5791893
26,4.1549973,4.053577,4.1859746,3.6316605
27,4.3439326,3.2259662,3.2003622,3.2417924
28,2.6420991,3.0231676,3.2221777,2.7922442
29,3.0991175,3.021798,2.9569244,3.0064692
30,3.497114,3.1421142,3.8929634,3.6392772
31,3.0861423,3.9190907,4.069625,3.558975
32,4.5551677,4.873625,4.395016,4.905039
33,2.229743,2.265353,2.8959737,3.1045752
34,4.0587435,4.1206555,4.603607,3.2892082
35,2.6912715,2.8723419,3.3818462,3.5801632
36,4.2288504,3.5609176,5.2771063,4.4530606
37,2.836506,3.044214,2.5425448,2.5417216
38,4.5787005,3.1092155,3.3814492,3.953328
39,2.3132288,3.0655615,2.710121,3.4342015
40,3.6222236,3.6103997,2.8646877,3.5496547
41,4.443938,3.9542236,3.954559,3.870344
42,3.0823817,2.8567958,2.5589988,3.2570233
43,2.5101562,1.668355,2.1713953,2.197418
44,3.10265,2.8544583,2.855368,2.6821609
45,3.5937276,3.370431,2.8588417,3.041289
46,2.6879883,3.104744,3.4164495,3.1040483
47,3.3290079,3.1114862,3.2976189,3.2221024
48,3.3181047,2.9752119,3.3348727,2.3530552
49,3.0292282,3.0941312,2.558255,2.5369325
