,0,1,2,3
0,3.7898016,4.0131993,3.492422,3.657965
1,3.6051133,3.7422266,3.8329985,3.7595904
2,3.519334,4.416132,3.6032157,4.2529984
3,3.3823566,4.033189,4.437603,4.280588
4,3.377391,3.2384503,3.428701,3.19637
5,3.312175,4.522022,3.9885538,4.9479227
6,4.768472,4.388427,4.880281,4.66555
7,5.601619,5.714195,5.9733024,5.5701413
8,3.6446326,4.0168056,3.6607835,4.2528872
9,4.7851844,4.5970373,4.416221,4.9516892
10,15.20249,13.061643,12.513772,14.427766
11,5.901705,6.108731,6.2571917,6.1284595
12,17.188309,15.342601,15.268876,17.747288
13,4.2898107,4.190623,3.5967894,4.1496153
14,6.462084,5.0476418,6.148211,7.1297417
15,15.376374,16.638603,14.415648,16.007812
16,13.761703,13.06995,7.888891,16.0061
17,4.1020722,3.5245671,4.2202597,3.888876
18,10.3201275,9.970483,10.304149,10.558637
19,4.613431,4.429948,4.5479817,3.1630602
20,3.9583595,3.6123102,3.265786,3.5548346
21,4.8636975,4.5098395,4.5977035,5.0064874
22,4.021097,3.447087,4.354162,4.1763635
23,3.3961978,3.396298,3.9608445,3.5793104
24,2.8706868,3.6340091,3.8779783,3.3767753
25,5.278266,5.1040983,5.0412188,5.4186254
26,11.999637,13.437663,12.635021,8.299872
27,5.4837008,13.219793,3.823687,17.080395
28,16.272358,15.353157,15.165331,13.978184
29,2.9396691,3.0427094,3.7184649,3.0437016
30,5.8321815,14.401477,6.289848,6.7889957
31,5.265176,5.329636,5.038812,5.2922363
32,14.058004,13.593105,14.135908,15.001519
33,4.2649674,3.330849,4.225365,4.1309934
34,7.065101,7.6236987,7.06954,8.276366
35,3.5470796,3.3840885,4.2410936,2.801303
36,11.443958,11.222244,11.915431,11.523606
37,4.1209893,3.516295,3.9251652,4.018496
38,4.6085057,4.87607,4.296841,4.369904
39,4.394249,4.808746,5.0165596,4.32287
40,16.536669,9.030972,14.050856,9.321171
41,3.9370494,4.04168,3.973906,4.0928283
42,3.4408116,3.8074024,3.8708332,3.794989
43,3.4302256,3.0151987,4.7008185,2.7485325
44,4.4528046,4.7375913,4.2632456,3.9856577
45,4.555402,3.510757,4.1713195,4.366768
46,16.902393,6.786749,15.121862,17.632343
47,4.3154154,4.191734,5.0277524,3.681417
48,5.161137,3.188998,5.055106,3.7875636
49,5.839855,5.507494,5.6055846,4.0024233
50,3.8158662,4.0870757,4.846123,4.7137265
51,4.511562,5.199328,4.620695,5.4164705
52,4.3118906,4.2051477,3.826984,4.108482
53,7.17715,7.189024,6.605474,8.894745
54,3.653611,3.8166096,3.6816545,3.7474005
55,4.7683406,4.9989114,5.14251,4.889532
56,4.362074,4.673399,4.591981,4.644294
57,3.9690795,4.5679426,4.617988,4.528104
58,4.796418,4.980395,4.94042,4.904426
59,14.100154,10.676901,12.31357,9.50977
60,4.2499285,5.027527,4.2301564,4.7489753
61,5.852554,6.903511,6.288401,6.053078
62,3.5585306,3.4763975,3.015559,3.4337444
63,4.3504367,4.604925,3.9812224,4.442784
64,5.1225085,4.461817,5.559734,4.1791716
65,4.4134727,4.6965485,4.670817,4.636555
66,4.929073,5.5962706,5.512499,5.6234255
67,3.8088977,4.000486,4.2816873,4.5111947
68,3.6796463,3.9370112,4.13641,3.6253088
69,4.287059,4.1514583,2.9955828,3.7105598
70,6.0876584,5.40474,5.5114694,4.713959
71,7.88098,8.294074,8.070159,6.164237
72,3.3555079,2.906468,3.3005023,3.1274467
73,4.406598,4.463994,4.2423224,4.315333
74,4.3667936,3.6172853,3.6889882,3.9980612
75,3.5646641,3.7780046,3.5037615,3.4668672
76,4.184392,5.584096,4.636185,5.188618
77,10.976792,14.62865,5.16916,13.332639
78,3.9366314,5.434069,4.0368752,5.231018
79,2.602959,3.1577384,3.8319316,4.5101347
80,4.0609965,3.6161675,4.1941586,4.5530868
81,4.025819,4.296185,4.813086,4.4869657
82,3.8139915,3.2992148,5.3382998,4.563767
83,16.165907,8.688142,14.483587,18.995958
84,4.1706247,8.763237,16.202019,17.404972
85,4.0425835,4.1491914,4.217458,4.0737805
86,14.355554,16.93576,16.336071,14.636918
87,3.7229376,3.7442632,3.6147838,3.6351197
88,4.3252077,3.8760612,3.9191146,4.5013704
89,3.630337,5.181956,5.408129,5.496714
90,4.148991,4.7371593,3.5380075,6.02903
91,11.905979,19.685053,10.642689,11.161266
92,13.156335,6.221576,8.0936165,13.498618
93,8.635241,8.341205,9.183816,9.213005
94,7.3382325,8.2017765,8.450391,8.242422
95,15.512473,15.475232,14.4394655,15.525916
96,14.648174,7.136814,13.550814,14.385571
97,8.851393,15.194829,15.855273,15.72499
98,3.6678588,3.125624,3.4769394,3.8130145
99,3.5154197,4.2300224,4.1664762,3.4260871
100,3.5255885,4.5119834,4.24367,4.003102
101,4.234394,4.2324057,2.7462754,3.977761
102,3.209648,2.6579325,3.2146885,3.1306274
103,4.3420215,4.398177,3.5165,4.4762278
104,5.149824,5.2770677,4.835298,5.3561354
105,3.919098,4.254642,3.940992,3.8686464
106,3.0271432,3.203075,3.209363,3.2457252
107,6.005878,11.061983,9.366394,5.1749983
108,2.866919,4.1240163,2.8261707,3.3516145
109,13.598529,16.092955,15.801304,15.459678
110,1.9603162,2.3806813,2.6594138,2.3348334
111,14.453804,15.118488,12.42144,14.979948
112,4.3196774,4.2966156,4.314791,4.357186
113,3.973344,8.481039,7.757822,7.1935368
114,4.8559,5.1809397,5.1093745,5.123145
115,2.9961839,4.644683,3.1910732,5.309646
116,12.11737,14.161132,16.281744,15.65542
117,4.035534,4.5782933,5.3238983,5.4469957
118,3.8583212,3.9470007,4.1124053,3.6401744
119,4.5576673,4.6304464,4.431932,4.892164
120,15.418798,17.998878,15.237375,14.743692
121,3.2521782,4.612664,3.4058263,4.3825455
122,17.530676,19.08979,8.879819,17.440561
123,3.7441657,5.2166405,4.912911,6.185334
124,5.961118,6.287164,5.7342296,5.466618
125,15.385497,12.739789,8.576538,15.180684
126,6.4491014,6.5502715,6.4693604,6.593085
127,3.8003016,4.135422,3.8361468,3.6510434
128,7.0123057,4.432262,3.798581,3.9963155
129,3.766114,3.3363647,3.4312212,3.0132759
130,3.810036,4.0722322,3.5734756,3.8951929
131,4.761683,4.7707596,4.081965,3.6791916
132,13.29385,14.259525,15.300236,15.253563
133,4.4637284,5.865728,4.5177693,5.8022
134,4.172838,4.060447,5.2335324,7.1474724
135,4.3542213,3.776361,4.28963,4.216931
136,3.4423237,3.6744452,3.9814913,3.8743775
137,3.7060566,3.1651626,3.5667114,3.8002107
138,3.8420935,3.6644123,3.8907905,3.726768
139,3.358521,3.4238372,3.491527,3.3364613
140,2.7091153,2.7553535,2.5987625,2.574785
141,4.837818,5.7238154,5.253237,6.22423
142,17.209177,14.9669695,15.801579,15.578868
143,8.0687275,16.149876,16.21441,16.554897
144,3.8277586,3.755613,3.9074244,4.024802
145,13.274383,13.335257,11.099777,15.120991
146,14.201699,9.314028,12.431407,16.317074
147,2.9943483,3.9254885,4.12064,4.2551374
148,15.142453,15.605688,7.903088,16.790834
149,3.341811,3.3455293,3.1346755,3.3256776
150,4.0629506,4.2326465,4.2638083,4.153295
151,3.711369,3.970618,3.929907,3.8242242
152,3.4798822,4.478104,3.9262228,5.2592344
153,17.049984,6.4137187,5.399964,8.893164
154,12.652263,13.44869,14.967354,16.048264
155,3.7034934,3.6414418,3.5491257,3.690051
